Row Labels,Count of urls
Arizona State Univerity Digital Repository,1
Arizona State University KEEP Repository,1
Arizona State University PRISM Repository,1
Atmire Open Repository Public Demo Repository,1
Boston University OpenBU,2
California Digital Library eScholarship,2
CaltechAUTHORS,2
CaltechTHESIS,2
Carroll College Carroll Scholars,1
Colorado and Wyoming Mountain Scholar,2
DesignSafe-CI,1
Digital Commons @ The University of Nebraska Lincoln,2
"eCommons, Cornell's digital repository",1
Illinois Institute of Technology repository.iit,2
Indiana University - Purdue University Indianapolis (IUPUI) ScholarWorks,2
International Food Policy Research Institute (IFPRI) e-brary Knowledge Repository,4
Iowa State University Digital Repository,1
Kansas State University New Prairie Press,1
Kansas State University Research Exchange (K-REx),2
Maryland MD-SOAR,2
Montana State University Scholarworks,2
Northeastern University Digital Repository Service,2
Northern Kentucky University Digital Repositor,2
OAKTrust digital repository at Texas A&M,2
Rutgers University RUcore Institutional Repository,2
Sam Houston State University Scholarly Works @ SHSU,2
SHAREOK,4
Smithsonian Research Online,1
Swarthmore College Works,2
Swarthmore College: Institutional Scholarship,2
University of Arizona Campus Repository,1
University of Houston Institutional Repository,2
University of Kentucky UKnowledge,2
University of Maryland DRUM,2
University of Miami Scholarship@Miami,1
University of Michigan Deep Blue,2
University of Minnesota Digital Conservancy,2
University of Montana ScholarWorks,1
"University of Nevada, Las Vegas Digital Scholarshop@UNLV",2
"University of Nevada, Reno Scholarworks",1
University of New Mexico Digital Repository,2
University of Pittsbugh D-Scholarship@Pitt,2
University of Texas Scholarworks,2
Virginia Commonwealth University Scholars Compass,1
Virginia Tech VTechWorks,2
Washburn University Institutional Repository,2
Grand Total,81
